77	I think that they fixed it!!! Yay! Gps accuracy is still a little off, ...	 - HTC Nexus One 	 1.0.0	 - September 24, 2010
77	Good, needs more.	 - HTC Droid Incredible 	 1.0.0	 - April 24, 2012
77	Cardio Racer	 - Samsung Galaxy S2 	 1.0.0	 - June 12, 2012
77	Lack of updates and features?. Falling behind adidas micoach	 - HTC Desire 	 1.0.0	 - June 19, 2011
77	I love it, really cool, they should add a race against others in the ...	 - Motorola Droid X 	 1.0.0	 - April 17, 2010
77	great add in. motivated me to go just that extra bit harder on my ...		 - Version 1.0.0	 - April 12, 2010
77	Its like Mr Motivator! Nothing beats kicking ur own a**!	 - HTC Desire 	 1.0.0	 - March 15, 2010
77	The perfect running coach..... you can shut it up if it gets on your ...		 - Version 1.0.0	 - April 15, 2010
77	Have tried fitness programs but this one is the best and most customizable.		 - Version 1.0.0	 - April 25, 2011
77	Works great, keeps an accurate record of distance and time. I double checked the ...	 - HTC Droid Eris  	 1.0.0	 - May 23, 2010
77	An awesome motivational app. More, please!	 - Motorola Droid 	 1.0.0	 - March 30, 2010
77	Love it. Really motivates me and I like that I can chose if I ...	 - Motorola Droid 	 1.0.0	 - February 24, 2010
77	If you really want to get better	 - HTC G2 	 1.0.0	 - May 2, 2012
77	Gps is very accurate and has a great UI. Integrated music plyer a plus. ...	 - LG Optimus 2X 	 1.0.0	 - May 10, 2011
77	The free cardio trainer does 90% of what I want. Bought this so to ...	 - HTC Hero  	 1.0.0	 - April 29, 2010
77	Pushes me to go faster harder and longer every time I exercise...great ...	 - Motorola Droid 	 1.0.0	 - April 18, 2011
77	Great motivational tool	 - LG Optimus One 	 1.0.0	 - July 10, 2011
77	Honestly, I cannot live without it.	 - HTC myTouch 4G 	 1.0.0	 - June 16, 2011
77	Great app. Add a feature to log reps and sets for gym movements and ...	 - Samsung Nexus S 	 1.0.0	 - November 3, 2009
77	5 stars for the motivation this app provides.	 - Motorola Droid 	 1.0.0	 - May 4, 2010
77	Just wonderful!! I keep improving every time		 - Version 1.0.0	May 5, 2010
77	This is the only app i paid money for....and i gotta say, best app ...	 - Samsung Galaxy S 	 1.0.0	 - March 9, 2010
77	love it. It just works. Definitely a good 3$ spend.	 - Motorola Droid 	 1.0.0	 - April 7, 2010
77	Fantastic running app	 - HTC Incredible 2 	 1.0.0	 - April 2, 2012
77	I love this program perfict for traning for military prt		 - Version 1.0.0	 - April 30, 2010
77	The best android app so far. Well worth the 3 dollars.	 - Motorola XOOM 	 1.0.0	 - April 21, 2010
77	I love it...actually gets me to exercise more!	 - HTC G1  	 1.0.0	 - October 8, 2009
77	One of the best apps out there, truly motivates you to better yourself 10 ...		 - Version 1.0.0	 - March 19, 2010
77	So much fun... love this app .	 - Samsung Droid Charge 	 1.0.0	 - February 28, 2010
77	Overrated	 - Samsung Galaxy S 	 1.0.0	 - September 20, 2010
77	Would love to race a pace on a new track.		 - Version 1.0.0	 - March 3, 2010
77	The best work out software in the market for my hero.	 - HTC Hero 	 1.0.0	 - March 21, 2010
77	Better than I expected	 - HTC Hero 	 1.0.0	 - July 14, 2010
77	Excellent, provides all the features that iPhone users have been crying out for.	 - HTC Desire 	 1.0.0	 - April 11, 2010
77	Great app. Helps me push myself to improve.	 - Motorola Droid 	 1.0.0	 - April 30, 2010
77	Best UI , smart programs		 - Version 1.0.0	 - April 18, 2010
77	Awesome!!	 - Samsung Galaxy S 	 1.0.0	 - April 28, 2011
77	Best app available by far.	 - Motorola CLIQ  	 1.0.0	 - March 22, 2010
77	Really would love to name the tracs: )	 - Motorola Droid 	 1.0.0	 - February 23, 2011
77	Awesome, really good for motivation	 - HTC Hero  	 1.0.0	 - March 21, 2010
77	Awesome app all around!	 - Motorola Droid X2 	 1.0.0	 - March 16, 2010
77	Sweet as a nut!		 - Version 1.0.0	 - May 28, 2010
77	HRM doesn't work on any of the products now.	 - HTC Evo 4G 	 1.0.0	 - May 16, 2011
77	Great app. Worth the $3	 - Samsung Galaxy S 	 1.0.0	 - April 18, 2010
77	The best there is...	 - HTC myTouch 3G 	 1.0.0	 - March 7, 2010
